Version	Name	Genre	Artist	bpm	☆N7	☆H7	☆A7	☆D7	☆N14	☆H14	☆A14	☆D14	N7	H7	A7	D7	N14	H14	A14	D14
1	20,November	HOUSE	dj nagureo	130	4	8	8	-	6	10	9	-	410	698	629	-	503	723	759	-
1	22DUNK	TECHNO	SLAKE	135	3	5	5	-	5	5	5	-	265	323	329	-	333	334	329	-
1	5.1.1.	PIANO AMBIENT	dj nagureo	101	1	6	10	-	1	7	10	-	99	511	786	-	99	511	796	-
1	Be in my paradise	SOUL CLASSIC BALLAD	JJ COMPANY	63	1	2	-	-	1	2	-	-	117	148	-	-	139	150	-	-
1	been so long	JAPANESE HIPHOP	m-flo	96	-	3	-	-	-	3	0	-	-	210	-	-	-	215	215	-
1	Beginning of life	AMBIENT	QUADRA	110	1	2	3	-	1	2	-	-	57	80	96	-	99	115	-	-
1	celebrate	SOUL CLASSIC	JJ COMPANY	134	4	5	0	-	4	5	0	-	254	280	446	-	415	417	476	-
1	Deep Clear Eyes	DRUM'N BASS	QUADRA	155	-	4	0	-	-	4	0	-	-	276	247	-	-	307	247	-
1	diving money	DRUM'N BASS	QUADRA	150	2	3	0	-	2	4	5	-	186	197	197	-	320	324	324	-
1	Do you love me?	BALLAD	reo-nagumo	100	-	2	-	-	-	2	-	-	-	155	-	-	-	252	-	-
1	Dr.LOVE	DANCE POP	baby weapon feat.Asuka.M	123	2	3	3	-	3	4	-	-	204	261	290	-	259	321	-	-
1	e-motion	RAVE	e.o.s	140-145	1	3	0	-	1	3	0	-	96	96	192	-	123	123	246	-
1	g.m.d.	HIPHOP	DJ mazinger featuring Muhammad	100	1	3	0	-	2	6	-	-	171	176	209	-	186	211	-	-
1	GAMBOL	BIG BEAT	SLAKE	102	1	2	9	-	1	2	9	-	137	137	137	-	137	137	137	-
1	GRADIUSIC CYBER	DIGI-ROCK	TAKA	159-167	5	6	7	-	5	9	9	-	442	508	609	-	409	556	631	-
1	into the world	WORLD GROOVE	QUADRA	126	-	3	-	-	-	3	-	-	-	153	-	-	-	176	-	-
1	jam jam reggae	REGGAE	Jam Master'73	90	-	1	0	-	-	1	0	-	-	62	139	-	-	77	141	-
1	LOVE SO GROOVY	SOUL	LOVEMINTS	141	-	3	-	-	-	-	-	-	-	169	-	-	-	-	-	-
1	LUV TO ME(disco mix)	EURO BEAT	tiger YAMATO	154	5	6	7	-	5	8	11	-	450	469	501	-	463	506	591	-
1	Melt in my arms	DANCE POP	Honey P feat.Asuka.M	118	3	4	4	-	3	4	0	-	223	234	254	-	249	254	254	-
1	OVERDOSER	TECHNO	MIRAK	132	2	3	0	-	2	3	-	-	156	164	164	-	204	224	-	-
1	patsenner	AMBIENT TECHNO	dj nagureo	108	4	5	-	-	4	5	-	-	352	393	-	-	398	407	-	-
1	perfect free	HOUSE	nite system	130	2	4	0	-	2	4	0	-	254	322	356	-	306	321	329	-
1	Prince on a star	ALTERNATIVE ROCK	SPIRITUAL RIDE	145	4	5	6	-	5	8	10	-	332	428	499	-	592	715	823	-
1	Queen's Jamaica (astria mix)	REGGAE	Crunky Boy featuring Muhammad	94	-	5	-	-	-	5	-	-	-	220	-	-	-	232	-	-
1	R3	RAVE	tiger YAMATO	157	4	5	6	-	4	6	8	-	330	368	454	-	384	392	475	-
1	Salamander Beat Clush mix	KONAMIX	NITE SYSTEM	134	2	3	0	-	2	3	-	-	157	171	171	-	173	177	-	-
1	Ska a go go	SKA	THE BALD HEADS	144-160	-	5	0	-	-	5	0	-	-	359	456	-	-	514	575	-
1	Special energy	TRANCE TECHNO	DJ FX	140	4	5	5	-	4	9	7	-	301	303	409	-	569	570	409	-
1	The Rhyme Brokers	JAPANESE HIPHOP	m-flo	91	-	4	0	-	-	4	0	-	-	307	358	-	-	329	376	-
1	The Theme from "Flo-jack"	HIPHOP	m-flo	93	-	1	-	-	-	1	-	-	-	139	-	-	-	217	-	-
1	YOU MAKE ME	JAZZ HOUSE	MONDAY MICHIRU	109	-	2	-	-	-	2	-	-	-	194	-	-	-	352	-	-
2	BRILLIANT 2U	EURO GROOVE	NAOKI	150	3	4	4	-	3	6	-	-	270	330	362	-	288	363	-	-
2	deep in you	DANCE POP	dj nagureo	126	3	4	5	-	3	4	7	-	254	255	333	-	293	293	364	-
2	GENOM SCREAMS	TRANCE	L.E.D.LIGHT	150	3	6	9	-	3	6	9	-	211	417	536	-	211	538	538	-
2	gentle stress	DRUM'N BASS	DJ Swan	175	3	4	9	-	4	5	8	-	232	350	728	-	272	640	772	-
2	KEEP ON MOVIN'	DANCE POP	N.M.R.	132	1	3	-	-	2	3	-	-	98	122	-	-	119	122	-	-
